iter	Passed	Remaining
466	723	825
467	724	823
468	726	822
469	728	821
470	729	819
471	730	816
472	730	814
473	731	812
474	733	810
475	734	809
476	736	807
477	737	805
478	738	803
479	739	801
480	740	799
481	741	797
482	742	795
483	743	792
484	744	790
485	745	788
486	746	786
487	748	785
488	749	783
489	751	781
490	752	779
491	753	777
492	754	776
493	755	774
494	756	772
495	758	770
496	759	768
497	760	766
498	761	764
499	762	762
500	763	760
501	764	758
502	765	756
503	766	754
504	767	752
505	768	750
506	769	748
507	770	746
508	771	744
509	772	742
510	773	740
511	774	738
512	775	736
513	776	734
514	777	732
515	779	730
516	779	728
517	780	726
518	781	724
519	782	722
520	783	720
521	784	718
522	785	716
523	785	713
524	786	711
525	787	709
526	788	707
527	789	705
528	790	703
529	791	701
530	792	700
531	793	698
532	794	696
533	795	694
534	796	692
535	797	690
536	798	688
537	800	687
538	801	685
539	802	683
540	803	681
541	804	679
542	805	678
543	806	676
544	808	674
545	809	673
546	811	671
547	812	669
548	813	668
549	814	666
550	815	664
551	816	662
552	817	660
553	818	658
554	819	656
555	820	655
556	821	653
557	822	651
558	823	649
559	824	647
560	825	646
561	826	644
562	827	642
563	828	640
564	828	638
565	829	636
566	830	634
567	831	632
568	832	630
569	833	628
570	834	627
571	835	625
572	836	623
573	837	621
574	838	620
575	839	618
576	840	616
577	841	614
578	842	612
579	843	611
580	845	609
581	845	607
582	846	605
583	847	603
584	849	602
585	850	600
586	851	599
587	852	597
588	853	595
589	854	593
590	855	592
591	856	590
592	857	588
593	858	586
594	859	584
595	860	583
596	860	581
597	861	579
598	862	577
599	864	576
600	865	574
601	866	572
602	867	571
603	868	569
604	868	567
605	869	565
606	870	563
607	871	561
608	872	559
609	872	558
610	873	556
611	874	554
612	875	552
613	876	550
614	877	549
615	878	547
616	879	545
617	880	544
618	881	542
619	882	540
620	883	538
621	883	537
622	884	535
623	885	533
624	886	531
625	887	529
626	887	528
627	888	526
628	889	524
629	890	522
630	891	521
631	892	519
632	893	517
633	894	516
634	895	514
635	896	513
636	897	511
637	898	509
638	899	508
639	900	506
640	901	504
641	901	502
642	902	501
643	904	499
644	905	498
645	906	496
646	907	494
647	908	493
648	909	491
649	910	490
650	911	488
651	912	487
652	913	485
653	914	483
654	915	482
655	916	480
656	916	478
657	917	477
658	919	475
659	920	474
660	921	472
661	922	470
662	923	469
663	924	467
664	925	466
665	926	464
666	927	463
667	928	461
668	929	459
669	930	458
670	931	456
671	932	454
672	933	453
673	934	451
674	935	450
675	936	448
676	937	447
677	938	445
678	939	444
679	940	442
680	941	440
681	941	439
682	942	437
683	943	435
684	944	434
685	945	432
686	946	431
687	947	429
688	948	428
689	949	426
690	950	425
691	951	423
692	952	422
693	953	420
694	954	419
695	955	417
696	956	415
697	957	414
698	958	412
699	959	411
700	960	409
701	961	408
702	962	406
703	963	405
704	964	403
705	966	402
706	967	400
707	968	399
708	969	397
709	970	396
710	970	394
711	971	393
712	972	391
713	973	389
714	974	388
715	975	386
716	976	385
717	977	383
718	978	382
719	979	381
720	980	379
721	981	378
722	982	376
723	983	375
724	984	373
725	985	371
726	986	370
727	987	368
728	988	367
729	989	365
730	989	364
731	990	362
732	992	361
733	993	360
734	994	358
735	995	357
736	996	355
737	997	354
738	998	352
739	999	351
740	1000	349
741	1000	348
742	1001	346
743	1002	344
744	1003	343
745	1003	341
746	1004	340
747	1005	338
748	1007	337
749	1008	336
750	1009	334
751	1010	333
752	1011	331
753	1012	330
754	1013	328
755	1014	327
756	1014	325
757	1015	324
758	1016	322
759	1017	321
760	1018	319
761	1019	318
762	1020	316
763	1021	315
764	1022	314
765	1024	312
766	1025	311
767	1025	309
768	1026	308
769	1027	306
770	1028	305
771	1029	303
772	1029	302
773	1030	300
774	1031	299
775	1032	298
776	1033	296
777	1034	295
778	1035	293
779	1036	292
780	1037	291
781	1039	289
782	1040	288
783	1041	286
784	1042	285
785	1043	284
786	1044	282
787	1045	281
788	1046	279
789	1047	278
790	1047	276
791	1048	275
792	1050	274
793	1051	272
794	1052	271
795	1054	270
796	1055	268
797	1056	267
798	1057	265
799	1057	264
800	1058	263
801	1059	261
802	1060	260
803	1061	258
804	1062	257
805	1063	255
806	1064	254
807	1066	253
808	1067	252
809	1068	250
810	1069	249
811	1070	247
812	1071	246
813	1072	245
814	1073	243
815	1074	242
816	1075	240
817	1076	239
818	1077	238
819	1078	236
820	1080	235
821	1081	234
822	1082	232
823	1083	231
824	1084	230
825	1085	228
826	1086	227
827	1087	225
828	1088	224
829	1089	223
830	1090	221
831	1091	220
832	1091	218
833	1092	217
834	1093	216
835	1094	214
836	1096	213
837	1097	212
838	1098	210
839	1099	209
840	1100	208
841	1101	206
842	1102	205
843	1103	203
844	1103	202
845	1104	201
846	1106	199
847	1106	198
848	1107	196
849	1109	195
850	1110	194
851	1111	193
852	1112	191
853	1113	190
854	1114	188
855	1114	187
856	1115	186
857	1116	184
858	1117	183
859	1118	182
860	1119	180
861	1120	179
862	1121	177
863	1122	176
864	1123	175
865	1124	173
866	1125	172
867	1126	171
868	1127	169
869	1128	168
870	1130	167
871	1131	166
872	1131	164
873	1133	163
874	1133	161
875	1134	160
876	1135	159
877	1136	157
878	1138	156
879	1139	155
880	1140	154
881	1141	152
882	1142	151
883	1143	150
884	1144	148
885	1145	147
886	1146	146
887	1147	144
888	1148	143
889	1149	142
890	1149	140
891	1150	139
892	1152	138
893	1153	136
894	1154	135
895	1155	134
896	1156	132
897	1157	131
898	1158	130
899	1159	128
900	1160	127
901	1161	126
902	1162	124
903	1162	123
904	1163	122
905	1164	120
906	1165	119
907	1166	118
908	1168	116
909	1169	115
910	1170	114
911	1171	113
912	1172	111
913	1173	110
914	1174	109
915	1174	107
916	1175	106
917	1176	105
918	1177	103
919	1178	102
920	1179	101
921	1180	99
922	1181	98
923	1182	97
924	1183	95
925	1185	94
926	1186	93
927	1187	92
928	1187	90
929	1188	89
930	1189	88
931	1190	86
932	1191	85
933	1192	84
934	1193	82
